District,Firm Name,City,State,Zip,Country/Area,Inspection End Date,Project Area,Center/Program Area,Inspection Classification
DEN,University of Arizona Human Subject Committee,Tucson,AZ,85724-0001,United States,10/6/2000,Project Evaluation: Devices,CDRH,OAI
DAL,"Pal-Path, Inc",Dallas,TX,75235-6001,United States,10/11/2000,Bioresearch Monitoring,CDER,NAI
DAL,"Pal-Path, Inc",Dallas,TX,75235-6001,United States,10/11/2000,Project Evaluation: Devices,CDRH,NAI
NWJ,"Merck & Co., Inc.",Springfield,NJ,07081-3121,United States,10/25/2000,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
BLT,"Covance Laboratories, Inc.",Vienna,VA,22182-1656,United States,11/2/2000,Bioresearch Monitoring,CDER,VAI
ATL,Veritas Laboratories Inc,Burlington,NC,27215-5879,United States,11/16/2000,Bioresearch Monitoring,CDER,NAI
CIN,Gliatech Inc,Beachwood,OH,44122-5813,United States,11/16/2000,Project Evaluation: Devices,CDRH,OAI
SEA,Battelle Pacific Northwest Lab,Richland,WA,99352-0999,United States,11/17/2000,Bioresearch Monitoring,CDER,NAI
ATL,Experimental Pathology Labs,Durham,NC,27713,United States,11/21/2000,Bioresearch Monitoring,CDER,VAI
ATL,Becton Dickinson Corporate Preclinical Development and Toxicology,Durham,NC,27709,United States,12/7/2000,Bioresearch Monitoring,CDER,NAI
ATL,"Equi-Tox, Inc.",Central,SC,29630-9601,United States,12/7/2000,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DEN,Coulston Foundation,Alamogordo,NM,88310-7627,United States,12/8/2000,Bioresearch Monitoring,CDER,OAI
NWJ,SGS North America Inc.,Fairfield,NJ,07004-3509,United States,12/14/2000,Bioresearch Monitoring,CDER,NAI
SEA,"Altasciences Preclinical Seattle, LLC",Everett,WA,98203-5898,United States,12/19/2000,Bioresearch Monitoring,CDER,NAI
DAL,Microchem Laboratory,Fort Worth,TX,76118-6955,United States,12/29/2000,Project Evaluation: Devices,CDRH,VAI
PHI,Phibro Animal Health Corporation,State College,PA,16801-2782,United States,1/11/2001,Bioresearch Monitoring,CDER,VAI
NWE,"Boehringer Ingelheim Pharmaceuticals, Inc.",Ridgefield,CT,06877-1058,United States,1/16/2001,Bioresearch Monitoring,CDER,VAI
NWJ,Schering Corporation,Lafayette,NJ,07848-4613,United States,1/18/2001,Bioresearch Monitoring,CDER,NAI
PHI,"Millenium Bioresearch Laboratories, Inc",Spinnerstown,PA,18968,United States,1/19/2001,Bioresearch Monitoring,CDER,NAI
PHI,"Rohm&Haas Co,Research Lab",Spring House,PA,19477-1015,United States,1/19/2001,Bioresearch Monitoring,CDER,NAI
SAN,Instiutional Animal Care and Use Committee at UCSF,San Francisco,CA,94143-0001,United States,1/26/2001,Project Evaluation: Devices,CDRH,OAI
PHI,Ortho-McNeil Pharmaceutical Inc,Spring House,PA,19477,United States,1/29/2001,Bioresearch Monitoring,CDER,NAI
SAN,"Marin Biologic Laboratories, Inc",Novato,CA,94949-5638,United States,2/2/2001,Bioresearch Monitoring,CDER,VAI
SEA,MDS Pharma Services,Bothell,WA,98021-4903,United States,2/5/2001,Bioresearch Monitoring,CDER,VAI
DEN,"CARE Research, LLC",Fort Collins,CO,80524-9340,United States,2/6/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CHI,Toxicology Research Lab/UIC,Chicago,IL,60612-7351,United States,2/7/2001,Bioresearch Monitoring,CDER,OAI
KAN,MRIGlobal,Kansas City,MO,64110-2241,United States,2/9/2001,Bioresearch Monitoring,CDER,VAI
PHI,Haskell Laboratory for Health & Environmental Sciences,Newark,DE,19711-3507,United States,2/9/2001,Bioresearch Monitoring,CDER,NAI
PHI,Haskell Laboratory for Health & Environmental Sciences,Newark,DE,19711-3507,United States,2/9/2001,Pesticides and Chemical Contaminants,CFSAN,NAI
DEN,"Colorado Quality Research, Inc.",Wellington,CO,80549,United States,2/28/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,2/28/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
