Content type:,Direct healthcare professional communication (DHPC),Output automatically generated from content on www.ema.europa.eu on:,21/03/2025 - 23:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category,Name of medicine,Procedure number,Active substances,DHPC type,Regulatory outcome,Referral name,ATC code (human),ATCvet code (veterinary),Therapeutic area (MeSH),Species,"Other related medicines
(nationally authorised)",Dissemination date,First published date,Last updated date,DHPC URL
Human,Emblaveo,,Avibactam;Aztreonam,Quality defect,Suspension,,J01DF51,,Gram-Negative Bacterial Infections;Urinary Tract Infections;Healthcare-Associated Pneumonia;Soft Tissue Infections,,,14/03/2025,20/03/2025,,https://www.ema.europa.eu/en/medicines/dhpc/emblaveo
Human,Kisqali,EMEA/H/C/004213/II/0045,Ribociclib,Post-authorisation measure,,,L01EF02,,Breast Neoplasms,,,19/02/2025,24/02/2025,,https://www.ema.europa.eu/en/medicines/dhpc/kisqali
Human,Veoza,PSUSA/00000231/202405,fezolinetant,Adverse event,Variation,,G02CX06,,Menopause;Hot Flashes,,,13/01/2025,23/01/2025,,https://www.ema.europa.eu/en/medicines/dhpc/veoza
Human,Alofisel,,darvadstrocel,Lack of effect,Withdrawal,,L04,,Rectal Fistula,,,19/12/2024,19/12/2024,,https://www.ema.europa.eu/en/medicines/dhpc/alofisel
Human,Keppra,,levetiracetam,Medication error,,,N03AX14,,Epilepsy,,Levetiracetam UCB,16/12/2024,18/12/2024,,https://www.ema.europa.eu/en/medicines/dhpc/keppra
Human,Medroxyprogesterone acetate,,medroxyprogesterone acetate,Safety signal,Variation,,,,,,Medroxyprogesterone-containing medicines,03/10/2024,16/12/2024,,https://www.ema.europa.eu/en/medicines/dhpc/medroxyprogesterone-acetate
Veterinary,Kexxtone,EMEA/V/C/002235,monensin (as monensin sodium),Quality defect,Suspension,Kexxtone 32.4 g continuous-release intraruminal device for cattle,,QA16QA06,,Cattle,,05/06/2024,05/06/2024,11/12/2024,https://www.ema.europa.eu/en/medicines/dhpc/kexxtone
Human,Cyanokit,,hydroxocobalamin,Medicine shortage;Quality defect,,,V03AB33,,Poisoning,,,09/12/2024,09/12/2024,,https://www.ema.europa.eu/en/medicines/dhpc/cyanokit
Human,Ibandronic acid Accord,,ibandronic acid,Quality defect,,,M05BA06,,Wounds and Injuries;Breast Diseases;Neoplastic Processes;Calcium Metabolism Disorders;Water-Electrolyte Imbalance,,,05/12/2024,05/12/2024,,https://www.ema.europa.eu/en/medicines/dhpc/ibandronic-acid-accord
Human,Metamizole,EMEA/H/A-107i/1537,metamizole,Adverse event,Variation,Metamizole-containing medicinal products,,,,,,03/12/2024,03/12/2024,,https://www.ema.europa.eu/en/medicines/dhpc/metamizole-0
